depth,trail,max_page_rank,nr_conn_comp,edges,nodes,efficiency,smetric
5,0,0.02928603490219404,7,68,69,0.08187492388259628,470.0
10,0,0.017182952196316447,2,118,105,0.1437219646281671,962.0
15,0,0.012668431930040278,1,169,141,0.14168306823434618,1490.0
20,0,0.01018768894333755,1,219,177,0.14173119590540012,1938.0
25,0,0.008731877343478285,1,268,212,0.1267112641797437,2398.0
30,0,0.007270624562150731,1,320,249,0.11630601935327958,2936.0
35,0,0.006435739062270555,1,370,285,0.11685064658130573,3464.0
40,0,0.005731736667512051,1,421,321,0.12143068387808338,3948.0
45,0,0.005025209964225758,1,471,357,0.10811369658159055,4482.0
5,1,0.029619111851136477,4,68,69,0.11285137969920557,456.0
10,1,0.017034927613337362,1,118,105,0.14451288748191646,942.0
15,1,0.012699059167827736,1,169,141,0.1529075223516596,1462.0
20,1,0.010024758414584074,1,219,177,0.1323113309746305,1946.0
25,1,0.008749604647321205,1,268,212,0.13489304755496553,2406.0
30,1,0.006917612732668389,1,320,249,0.13272927478365382,2968.0
35,1,0.006302880769501101,1,370,285,0.11976680555254642,3460.0
40,1,0.005547060002296227,1,421,321,0.12033290281606487,3950.0
45,1,0.005080707667845075,1,471,357,0.11032546466539601,4464.0
5,2,0.030022732197557182,6,68,69,0.0846337568843961,470.0
10,2,0.01720779139670219,1,118,105,0.13723788681608418,950.0
15,2,0.012793244582738908,1,169,141,0.16257112757300962,1462.0
20,2,0.010522866418634029,1,219,177,0.12561878819748926,1920.0
25,2,0.008537314267758014,1,268,212,0.13277071763682746,2408.0
30,2,0.007421359157397098,1,320,249,0.12054841205439118,2944.0
35,2,0.006397942111714536,1,370,285,0.1264628510322873,3454.0
40,2,0.005694479409546029,1,421,321,0.11631720590387294,3966.0
45,2,0.005059420617001357,1,471,357,0.11113215763352968,4438.0
5,3,0.02935215419705796,5,68,69,0.0894168053694904,456.0
10,3,0.017431652552850133,2,118,105,0.1223645489743061,958.0
15,3,0.012920151089536312,1,169,141,0.15418203314521714,1446.0
20,3,0.010476047001961919,1,219,177,0.1350219972288985,1932.0
25,3,0.008820863581541149,1,268,212,0.13807587440539384,2396.0
30,3,0.007429439758361195,1,320,249,0.13089459508171095,2908.0
35,3,0.006513835601168234,1,370,285,0.11757702674310311,3438.0
40,3,0.005522168719973421,1,421,321,0.11056697279259604,3968.0
45,3,0.004919474614627425,1,471,357,0.10784972019504348,4364.0
5,4,0.030745228007617552,6,68,69,0.0879423113118764,460.0
10,4,0.01785808647065336,1,118,105,0.17678998468592955,936.0
15,4,0.013195776062514741,1,169,141,0.14731007221525552,1452.0
20,4,0.010368303375636101,1,219,177,0.14700335740581238,1918.0
25,4,0.008502494104319858,1,268,212,0.13217058877820176,2446.0
30,4,0.007234024872419599,1,320,249,0.12895376319735324,2960.0
35,4,0.0064494870468933645,1,370,285,0.1216676319693843,3430.0
40,4,0.005649902521366001,1,421,321,0.11434933074784744,3970.0
45,4,0.0052847588215314285,1,471,357,0.10983937690176677,4448.0
5,5,0.030741064059755116,7,68,69,0.07156761255226717,480.0
10,5,0.018300559428734084,1,118,105,0.16594621736780832,946.0
15,5,0.012956106357110492,1,169,141,0.1543280725677259,1460.0
20,5,0.009847924303527062,1,219,177,0.1561810910861006,1936.0
25,5,0.008586862919785382,1,268,212,0.1266648962795319,2440.0
30,5,0.007450561504814476,1,320,249,0.1315894103373273,2920.0
35,5,0.006196441485048984,1,370,285,0.12205064448084188,3428.0
40,5,0.005526473863543716,1,421,321,0.11479731912972024,3950.0
45,5,0.005106912240326589,1,471,357,0.10597065188533171,4466.0
5,6,0.030028197414223547,5,68,69,0.10309060552027305,452.0
10,6,0.01773368016402235,1,118,105,0.14972431908198786,946.0
15,6,0.012582584928388431,1,169,141,0.1574186205199649,1448.0
20,6,0.01017564391315549,1,219,177,0.134906190893947,1936.0
25,6,0.008542397655183406,1,268,212,0.13491501000087947,2412.0
30,6,0.007290903035619918,1,320,249,0.13430687761381613,2956.0
35,6,0.006348578069178873,1,370,285,0.12135496227017155,3420.0
40,6,0.005884099628407591,1,421,321,0.10826631419687034,3972.0
45,6,0.005246147532784254,1,471,357,0.11148595701526845,4456.0
5,7,0.02779155777501131,5,68,69,0.12639959618859872,458.0
10,7,0.01718646278039942,1,118,105,0.15792289235167342,920.0
15,7,0.012776956247597462,1,169,141,0.13768603785098277,1464.0
20,7,0.010364309714534257,1,219,177,0.15351724439164668,1920.0
25,7,0.008299762731493006,1,268,212,0.13344183767500492,2436.0
30,7,0.007303494399470755,1,320,249,0.13561665282225008,2950.0
35,7,0.006294414377558807,1,370,285,0.12330688894898775,3468.0
40,7,0.005927138426897889,1,421,321,0.11680128156779601,3962.0
45,7,0.005116851529125321,1,471,357,0.11027795246633929,4392.0
5,8,0.029823686910694147,7,68,69,0.08815398275116926,484.0
10,8,0.01768179578123193,3,118,105,0.08923881246360299,930.0
15,8,0.012038212273647247,1,169,141,0.15944276721426331,1492.0
20,8,0.010331795019575313,1,219,177,0.14615357151051667,1924.0
25,8,0.008588910548851707,1,268,212,0.13751277564437098,2460.0
30,8,0.007056315758662283,1,320,249,0.12943257583083045,2978.0
35,8,0.006490612524988572,1,370,285,0.12672902586397486,3468.0
40,8,0.005585276869330675,1,421,321,0.11765050162380737,3974.0
45,8,0.004947540354755876,1,471,357,0.10870596061585709,4492.0
5,9,0.030489049532258942,5,68,69,0.1262756342359922,452.0
10,9,0.017806043991024288,3,118,105,0.1067669684977005,932.0
15,9,0.012757719950928288,1,169,141,0.14141623782678106,1468.0
20,9,0.010607791906680604,1,219,177,0.14068260632598917,1928.0
25,9,0.008177179619219977,1,268,212,0.1277804185542017,2440.0
30,9,0.007379595710435625,1,320,249,0.12385477444958452,2970.0
35,9,0.0063002625683077065,1,370,285,0.1280283708674117,3438.0
40,9,0.005643323182992327,1,421,321,0.1149951916811611,3958.0
45,9,0.0047176803373382035,1,471,357,0.11026371958161235,4432.0
